state_name,state_abbreviation,pct_current_anxiety,pct_current_depression,pct_current_adhd,pct_any_current_condition,pct_two_or_more_conditions,pct_all_three_conditions,dominant_condition_profile,dominant_profile_pct,dominant_cooccurring_profile,dominant_cooccurring_pct,students_per_psychologist,students_per_guidance_counselor,avg_hpsa_score,max_hpsa_score,pct_designated_population_underserved,provider_shortage_per_100k,q5_priority_state
ALABAMA,AL,10.93,5.3,16.46,22.73,7.61,2.95,ADHD,46.88,Anxiety + Depression + ADHD,38.79,108066.2,400.9,17.45,23,12.36,0.92,0
ALASKA,AK,13.43,4.08,13.52,20.52,8.58,1.57,ADHD,33.1,Anxiety + ADHD,55.09,1654.7,414.4,13.62,21,9.43,1.04,0
ARIZONA,AZ,15.37,5.7,10.87,19.94,9.33,2.12,Anxiety,30.5,Anxiety + ADHD,42.87,968.3,569.3,16.36,23,13.94,1.01,0
ARKANSAS,AR,11.86,5.25,17.2,23.1,8.22,2.42,ADHD,46.94,Anxiety + ADHD,42.31,2892.7,353.1,16.94,24,7.15,0.83,0
CALIFORNIA,CA,10.19,3.11,8.29,15.53,4.9,0.89,Anxiety,35.68,Anxiety + ADHD,46.53,745.5,432.4,16.76,24,2.35,0.25,0
COLORADO,CO,14.87,6.38,11.54,21.54,8.62,3.11,Anxiety,32.02,Anxiety + Depression + ADHD,36.15,914.6,247.2,16.67,24,16.52,1.7,0
CONNECTICUT,CT,14.2,4.25,13.57,23.22,7.16,1.79,ADHD,36.92,Anxiety + ADHD,46.55,461.2,313.5,15.95,22,31.06,2.68,0
DELAWARE,DE,13.81,6.64,12.61,19.51,9.78,3.9,ADHD,25.74,Anxiety + Depression + ADHD,39.92,822.4,320.3,11.85,22,52.74,6.12,0
DISTRICT OF COLUMBIA,DC,10.35,7.48,13.18,22.49,6.68,1.37,ADHD,31.11,Anxiety + ADHD,38.01,489.6,270.4,19.0,22,9.84,0.66,0
FLORIDA,FL,12.65,4.46,15.45,21.23,8.84,2.61,ADHD,36.56,Anxiety + ADHD,53.49,2074.2,425.1,17.51,25,18.39,1.65,0
GEORGIA,GA,12.69,5.32,14.3,20.38,8.55,3.33,ADHD,35.49,Anxiety + ADHD,40.88,1993.8,386.3,17.57,24,12.09,1.16,0
HAWAII,HI,5.83,1.91,9.97,13.29,3.12,0.71,ADHD,57.87,Anxiety + ADHD,40.44,1731.3,242.7,15.97,24,23.58,2.27,0
IDAHO,ID,13.99,7.94,13.02,20.23,10.02,4.78,ADHD,28.26,Anxiety + Depression + ADHD,47.7,655.6,394.3,15.68,22,22.12,1.55,0
ILLINOIS,IL,13.13,4.56,14.99,22.1,8.61,2.18,ADHD,34.9,Anxiety + ADHD,56.52,943.0,490.2,17.27,23,9.25,0.75,0
INDIANA,IN,17.55,5.87,16.09,24.38,11.47,2.9,ADHD,27.94,Anxiety + ADHD,52.42,1868.6,479.2,16.29,23,14.69,1.36,1
IOWA,IA,19.54,5.92,13.28,26.88,9.62,2.51,Anxiety,37.44,Anxiety + ADHD,45.51,29839.8,340.0,16.23,22,17.15,1.07,1
KANSAS,KS,14.32,5.94,15.63,24.14,8.97,2.62,ADHD,36.49,Anxiety + ADHD,44.67,945.5,411.1,16.4,23,18.12,1.15,0
KENTUCKY,KY,18.7,6.99,16.72,26.77,12.27,3.43,ADHD,29.62,Anxiety + ADHD,42.24,1425.5,321.5,17.57,25,12.47,0.9,1
LOUISIANA,LA,10.65,4.88,19.52,23.82,8.4,1.82,ADHD,47.95,Anxiety + ADHD,46.75,2411.4,422.6,18.0,24,13.09,1.04,0
MAINE,ME,22.23,5.3,16.93,31.02,10.39,2.07,Anxiety,36.22,Anxiety + ADHD,51.8,1164.5,287.4,16.09,23,11.09,0.68,0
MARYLAND,MD,14.73,4.52,13.32,21.73,8.69,1.75,ADHD,29.92,Anxiety + ADHD,50.66,1037.1,309.5,16.0,23,34.87,2.85,0
MASSACHUSETTS,MA,15.22,5.62,14.14,23.32,8.18,3.39,ADHD,32.93,Anxiety + Depression + ADHD,41.49,662.8,341.1,16.23,23,8.4,0.68,0
MICHIGAN,MI,14.31,5.85,17.14,24.57,9.97,3.14,ADHD,38.8,Anxiety + ADHD,41.33,1400.8,565.8,14.67,23,7.65,0.63,0
MINNESOTA,MN,15.42,6.49,12.57,23.09,9.12,2.49,Anxiety,29.83,Anxiety + ADHD,39.6,1046.4,539.4,16.7,23,25.56,1.62,0
MISSISSIPPI,MS,12.9,4.78,20.82,26.84,9.38,1.75,ADHD,49.6,Anxiety + ADHD,54.21,15456.8,372.1,18.08,24,15.39,1.34,1
MISSOURI,MO,16.04,5.79,14.63,26.02,8.53,1.97,ADHD,34.78,Anxiety + ADHD,43.02,1790.8,293.3,17.03,23,7.81,0.59,0
MONTANA,MT,19.71,10.1,13.08,26.05,13.17,3.55,Anxiety,26.12,Anxiety + Depression,43.93,1423.1,288.2,16.53,22,26.84,2.32,1
NEBRASKA,NE,10.75,4.89,10.18,17.14,7.04,1.77,Anxiety,28.66,Anxiety + ADHD,34.81,903.7,331.3,16.23,22,10.23,0.89,0
NEVADA,NV,9.99,3.56,9.99,15.88,4.73,2.17,ADHD,34.65,Anxiety + Depression + ADHD,45.83,1831.1,437.2,15.62,23,12.26,1.12,0
NEW HAMPSHIRE,NH,18.05,7.13,17.01,26.41,12.35,2.52,ADHD,30.38,Anxiety + ADHD,48.08,731.6,185.3,18.05,22,10.07,1.05,0
NEW JERSEY,NJ,11.86,3.88,10.32,17.48,6.43,2.2,Anxiety,32.14,Anxiety + ADHD,42.03,661.3,290.9,14.84,24,12.46,0.94,0
NEW MEXICO,NM,14.15,6.81,12.69,24.0,8.32,1.56,ADHD,32.52,Anxiety + Depression,41.66,2070.8,428.4,17.86,24,17.12,1.34,0
NEW YORK,NY,13.81,3.92,11.57,19.88,8.14,1.84,Anxiety,31.62,Anxiety + ADHD,53.03,577.3,317.8,16.95,24,11.42,0.84,0
NORTH CAROLINA,NC,13.57,4.6,13.89,22.55,7.98,1.41,ADHD,37.7,Anxiety + ADHD,51.02,2023.4,360.2,16.41,24,19.79,1.56,0
NORTH DAKOTA,ND,14.09,6.81,14.55,20.98,10.88,2.47,ADHD,29.9,Anxiety + ADHD,44.35,1555.3,294.8,14.67,20,22.71,1.97,0
