state_name,state_abbreviation,county_name,county_fips,LEAID,LEA_NAME,total_students,students_per_psychologist,students_per_guidance_counselor,combined_school_support_rank_within_state,hpsa_designation_count,avg_hpsa_score,max_hpsa_score,county_shortage_rank_within_state,local_overlap_score
OREGON,OR,Washington County,41067,4112240,Tigard-Tualatin SD 23J,11433.0,1874.3,302.8,31.0,2,22.0,23,1,16.0
OREGON,OR,Washington County,41067,4111290,Sherwood SD 88J,4803.0,1200.8,369.5,32.0,2,22.0,23,1,16.5
OREGON,OR,Washington County,41067,4113170,West Linn-Wilsonville SD 3J,8880.0,1138.5,322.9,39.5,2,22.0,23,1,20.25
OREGON,OR,Washington County,41067,4112930,Vernonia SD 47J,566.0,566.0,566.0,39.5,2,22.0,23,1,20.25
OREGON,OR,Washington County,41067,4100023,Hillsboro SD 1J,18781.0,1490.6,267.0,41.0,2,22.0,23,1,21.0
OREGON,OR,Washington County,41067,4105160,Forest Grove SD 15,5712.0,1337.7,187.3,48.5,2,22.0,23,1,24.75
OREGON,OR,Washington County,41067,4101920,Beaverton SD 48J,37891.0,852.2,287.5,51.5,2,22.0,23,1,26.25
OREGON,OR,Washington County,41067,4105430,Gaston SD 511J,477.0,954.0,238.5,54.5,2,22.0,23,1,27.75
OREGON,OR,Washington County,41067,4110040,Portland SD 1J,43357.0,655.6,277.9,57.5,2,22.0,23,1,29.25
OREGON,OR,Washington County,41067,4108720,Newberg SD 29J,4033.0,711.3,270.7,57.5,2,22.0,23,1,29.25
OREGON,OR,Jackson County,41029,4102940,Central Point SD 6,4773.0,2386.5,954.6,8.0,3,20.67,22,2,5.0
OREGON,OR,Jackson County,41029,4104500,Eagle Point SD 9,4071.0,2035.5,715.5,12.0,3,20.67,22,2,7.0
OREGON,OR,Jackson County,41029,4108040,Medford SD 549C,13800.0,2359.0,462.8,16.0,3,20.67,22,2,9.0
OREGON,OR,Jackson County,41029,4109630,Phoenix-Talent SD 4,2231.0,2231.0,371.8,20.5,3,20.67,22,2,11.25
OREGON,OR,Jackson County,41029,4101560,Ashland SD 5,2547.0,968.4,242.6,53.5,3,20.67,22,2,27.75
