state_name,state_abbreviation,pct_any_current_condition,pct_two_or_more_conditions,students_per_psychologist,students_per_guidance_counselor,avg_hpsa_score,max_hpsa_score,pct_designated_population_underserved,provider_shortage_per_100k,q5_priority_state
ALABAMA,AL,22.73,7.61,108066.2,400.9,17.45,23,12.36,0.92,0
ALASKA,AK,20.52,8.58,1654.7,414.4,13.62,21,9.43,1.04,0
ARIZONA,AZ,19.94,9.33,968.3,569.3,16.36,23,13.94,1.01,0
ARKANSAS,AR,23.1,8.22,2892.7,353.1,16.94,24,7.15,0.83,0
CALIFORNIA,CA,15.53,4.9,745.5,432.4,16.76,24,2.35,0.25,0
COLORADO,CO,21.54,8.62,914.6,247.2,16.67,24,16.52,1.7,0
CONNECTICUT,CT,23.22,7.16,461.2,313.5,15.95,22,31.06,2.68,0
DELAWARE,DE,19.51,9.78,822.4,320.3,11.85,22,52.74,6.12,0
DISTRICT OF COLUMBIA,DC,22.49,6.68,489.6,270.4,19.0,22,9.84,0.66,0
FLORIDA,FL,21.23,8.84,2074.2,425.1,17.51,25,18.39,1.65,0
GEORGIA,GA,20.38,8.55,1993.8,386.3,17.57,24,12.09,1.16,0
HAWAII,HI,13.29,3.12,1731.3,242.7,15.97,24,23.58,2.27,0
IDAHO,ID,20.23,10.02,655.6,394.3,15.68,22,22.12,1.55,0
ILLINOIS,IL,22.1,8.61,943.0,490.2,17.27,23,9.25,0.75,0
INDIANA,IN,24.38,11.47,1868.6,479.2,16.29,23,14.69,1.36,1
IOWA,IA,26.88,9.62,29839.8,340.0,16.23,22,17.15,1.07,1
KANSAS,KS,24.14,8.97,945.5,411.1,16.4,23,18.12,1.15,0
KENTUCKY,KY,26.77,12.27,1425.5,321.5,17.57,25,12.47,0.9,1
LOUISIANA,LA,23.82,8.4,2411.4,422.6,18.0,24,13.09,1.04,0
MAINE,ME,31.02,10.39,1164.5,287.4,16.09,23,11.09,0.68,0
MARYLAND,MD,21.73,8.69,1037.1,309.5,16.0,23,34.87,2.85,0
MASSACHUSETTS,MA,23.32,8.18,662.8,341.1,16.23,23,8.4,0.68,0
MICHIGAN,MI,24.57,9.97,1400.8,565.8,14.67,23,7.65,0.63,0
MINNESOTA,MN,23.09,9.12,1046.4,539.4,16.7,23,25.56,1.62,0
MISSISSIPPI,MS,26.84,9.38,15456.8,372.1,18.08,24,15.39,1.34,1
MISSOURI,MO,26.02,8.53,1790.8,293.3,17.03,23,7.81,0.59,0
MONTANA,MT,26.05,13.17,1423.1,288.2,16.53,22,26.84,2.32,1
NEBRASKA,NE,17.14,7.04,903.7,331.3,16.23,22,10.23,0.89,0
NEVADA,NV,15.88,4.73,1831.1,437.2,15.62,23,12.26,1.12,0
NEW HAMPSHIRE,NH,26.41,12.35,731.6,185.3,18.05,22,10.07,1.05,0
NEW JERSEY,NJ,17.48,6.43,661.3,290.9,14.84,24,12.46,0.94,0
NEW MEXICO,NM,24.0,8.32,2070.8,428.4,17.86,24,17.12,1.34,0
NEW YORK,NY,19.88,8.14,577.3,317.8,16.95,24,11.42,0.84,0
NORTH CAROLINA,NC,22.55,7.98,2023.4,360.2,16.41,24,19.79,1.56,0
NORTH DAKOTA,ND,20.98,10.88,1555.3,294.8,14.67,20,22.71,1.97,0
OHIO,OH,24.18,9.88,939.6,391.9,15.8,25,20.35,1.66,0
OKLAHOMA,OK,22.99,8.41,3849.8,355.9,17.79,24,15.48,1.4,0
OREGON,OR,29.7,13.03,1429.2,324.1,16.7,24,12.37,1.04,1
PENNSYLVANIA,PA,23.01,8.93,985.5,317.4,12.45,23,3.89,0.6,0
RHODE ISLAND,RI,22.12,7.4,647.5,390.7,17.21,23,17.96,1.56,0
SOUTH CAROLINA,SC,23.43,7.95,1212.8,308.7,16.39,24,26.88,2.14,0
SOUTH DAKOTA,SD,23.47,8.3,1373.1,335.5,18.49,23,38.02,2.59,0
TENNESSEE,TN,21.43,8.46,,,17.24,23,16.96,1.93,0
TEXAS,TX,22.02,7.33,2120.5,397.1,15.63,23,24.56,1.91,0
UTAH,UT,27.22,10.26,1950.0,468.0,14.82,22,33.7,2.7,1
VERMONT,VT,30.59,11.88,2992.6,178.6,,,,,0
VIRGINIA,VA,26.42,8.23,1192.3,280.0,16.37,22,28.99,2.54,0
WASHINGTON,WA,24.55,11.06,946.2,364.0,15.81,23,21.37,1.37,1
WEST VIRGINIA,WV,27.6,10.49,1695.8,308.9,16.8,24,18.05,2.62,1
WISCONSIN,WI,23.56,10.61,746.1,362.3,15.8,24,7.9,0.86,0
WYOMING,WY,23.79,11.62,1121.4,297.7,15.73,21,36.4,2.68,1
