GEO_ID,NAME,DP02_0003E,DP02_0003PE,DP02_0003PM,DP02_0005E,DP02_0005PE,DP02_0005PM,DP02_0007E,DP02_0007PE,DP02_0007PM,DP02_0011E,DP02_0011PE,DP02_0011PM,DP02_0014E,DP02_0014PE,DP02_0014PM,DP02_0056E,DP02_0056PE,DP02_0056PM,DP02_0057E,DP02_0057PE,DP02_0057PM,DP02_0067E,DP02_0067PE,DP02_0067PM,DP02_0068E,DP02_0068PE,DP02_0068PM,DP02_0073E,DP02_0073PE,DP02_0073PM,DP02_0074E,DP02_0074PE,DP02_0074PM,DP02_0113E,DP02_0113PE,DP02_0113PM,DP02_0114E,DP02_0114PE,DP02_0114PM,DP02_0115E,DP02_0115PE,DP02_0115PM,DP02_0153E,DP02_0153PE,DP02_0153PM,DP02_0154E,DP02_0154PE,DP02_0154PM,DP03_0009E,DP03_0009M,DP03_0016E,DP03_0016PE,DP03_0016PM,DP03_0017E,DP03_0017PE,DP03_0017PM,DP03_0062E,DP03_0062M,DP03_0072E,DP03_0072PE,DP03_0072PM,DP03_0074E,DP03_0074PE,DP03_0074PM,DP03_0100E,DP03_0100PE,DP03_0100PM,DP03_0101E,DP03_0101PE,DP03_0101PM,DP03_0120E,DP03_0120PE,DP03_0120PM,DP03_0129E,DP03_0129PE,DP03_0129PM,DP03_0132E,DP03_0132PE,DP03_0132PM,DP04_0046E,DP04_0046PE,DP04_0046PM,DP04_0047E,DP04_0047PE,DP04_0047PM,DP04_0058E,DP04_0058PE,DP04_0058PM,DP04_0059E,DP04_0059PE,DP04_0059PM,DP04_0060E,DP04_0060PE,DP04_0060PM,DP04_0061E,DP04_0061PE,DP04_0061PM,DP04_0073E,DP04_0073PE,DP04_0073PM,DP04_0074E,DP04_0074PE,DP04_0074PM,DP04_0078E,DP04_0078PE,DP04_0078PM,DP04_0079E,DP04_0079PE,DP04_0079PM,DP04_0114E,DP04_0114PE,DP04_0114PM,DP04_0115E,DP04_0115PE,DP04_0115PM,DP04_0134E,DP04_0134M,DP04_0141E,DP04_0141PE,DP04_0141PM,DP04_0142E,DP04_0142PE,DP04_0142PM,pct_has_vehicle,pct_complete_plumbing,pct_complete_kitchen,DP05_0001E,DP05_0001M,DP05_0002E,DP05_0002PE,DP05_0002PM,DP05_0003E,DP05_0003PE,DP05_0003PM,DP05_0006E,DP05_0006PE,DP05_0006PM,DP05_0007E,DP05_0007PE,DP05_0007PM,DP05_0008E,DP05_0008PE,DP05_0008PM,DP05_0019E,DP05_0019PE,DP05_0019PM,DP05_0037E,DP05_0037PE,DP05_0037PM,DP05_0045E,DP05_0045PE,DP05_0045PM,DP05_0053E,DP05_0053PE,DP05_0053PM,DP05_0061E,DP05_0061PE,DP05_0061PM,DP05_0069E,DP05_0069PE,DP05_0069PM,DP05_0074E,DP05_0074PE,DP05_0074PM,DP05_0075E,DP05_0075PE,DP05_0075PM,DP05_0090E,DP05_0090PE,DP05_0090PM,DP05_0095E,DP05_0095PE,DP05_0095PM,FIPSST
0400000US01,Alabama,325534,16.3,0.2,35399,1.8,0.1,20605,1.0,0.1,120001,6.0,0.1,579585,29.0,0.2,496324,40.9,0.3,263044,21.7,0.2,3078391,88.6,0.2,985483,28.4,0.3,1128965,1128965,(X),59544,5.3,0.2,4503218,94.0,0.1,289812,6.0,0.1,115166,2.4,0.1,1870607,93.7,0.2,1746990,87.5,0.2,(X),(X),715124,715124,(X),503600,70.4,0.7,63999,399,33193,1.7,0.1,273037,13.7,0.2,1202363,1202363,(X),43655,3.6,0.2,(X),18.0,0.4,(X),21.3,0.5,(X),19.9,0.5,1402155,70.2,0.3,595092,29.8,0.3,107590,5.4,0.2,630767,31.6,0.3,731666,36.6,0.3,527224,26.4,0.2,8077,0.4,0.1,14259,0.7,0.1,24504,1.2,0.1,9789,0.5,0.1,41474,5.5,0.2,137475,18.2,0.4,1007,8,46443,9.0,0.3,206715,39.9,0.7,94.6,99.6,99.3,5086768,*****,2469932,48.6,0.1,2616836,51.4,0.1,306225,6.0,0.1,330258,6.5,0.1,345880,6.8,0.1,1130725,22.2,0.1,3284260,64.6,0.1,1311062,25.8,0.1,23557,0.5,0.1,74435,1.5,0.1,3524,0.1,0.1,119371,2.3,0.1,270559,5.3,0.1,284135,5.6,0.1,4802633,94.4,0.1,01
0400000US02,Alaska,53341,19.7,0.5,8142,3.0,0.2,4333,1.6,0.2,10931,4.0,0.3,85556,31.6,0.6,79188,46.0,0.7,39268,22.8,0.6,458914,93.6,0.3,155356,31.7,0.5,176789,176789,(X),8564,4.8,0.4,585162,84.9,0.4,103908,15.1,0.4,28940,4.2,0.2,262588,97.1,0.2,248680,91.9,0.4,(X),(X),112553,112553,(X),78548,69.8,1.5,92788,1232,15150,5.6,0.3,27367,10.1,0.4,185406,185406,(X),14925,8.0,0.5,(X),9.5,0.6,(X),12.2,0.8,(X),10.6,0.8,180833,66.8,0.7,89700,33.2,0.7,24445,9.0,0.3,84535,31.2,0.7,98495,36.4,0.7,63058,23.3,0.5,9505,3.5,0.3,7411,2.7,0.2,9072,3.4,0.2,6338,2.3,0.2,8499,7.8,0.7,22808,21.1,0.9,1419,23,7774,9.6,0.9,28455,35.1,1.4,91.0,96.5,97.3,735706,*****,386380,52.5,0.1,349326,47.5,0.1,50319,6.8,0.2,50854,6.9,0.2,46838,6.4,0.1,177179,24.1,0.1,438178,59.6,0.2,22071,3.0,0.2,99576,13.5,0.3,47423,6.4,0.2,11488,1.6,0.1,17080,2.3,0.2,99890,13.6,0.5,53803,7.3,0.1,681903,92.7,0.1,02
0400000US04,Arizona,477403,16.7,0.2,77389,2.7,0.1,38148,1.3,0.1,126616,4.4,0.1,820269,28.7,0.2,714387,41.5,0.3,390940,22.7,0.2,4547940,89.4,0.1,1696340,33.3,0.2,1592081,1592081,(X),80219,5.0,0.2,5184054,74.3,0.2,1797266,25.7,0.2,561620,8.0,0.1,2754033,96.4,0.1,2614704,91.5,0.2,(X),(X),1047647,1047647,(X),729154,69.6,0.6,79964,407,63107,2.2,0.1,295740,10.4,0.1,1693940,1693940,(X),149489,8.8,0.3,(X),13.2,0.3,(X),16.2,0.5,(X),15.3,0.5,1924098,67.4,0.3,931983,32.6,0.3,153437,5.4,0.1,982821,34.4,0.2,1074985,37.6,0.2,644838,22.6,0.2,19227,0.7,0.1,24004,0.8,0.1,80693,2.8,0.1,43301,1.5,0.1,75848,6.4,0.2,248932,21.1,0.3,1543,7,80518,9.3,0.3,366834,42.2,0.5,94.6,99.3,99.2,7378838,*****,3683473,49.9,0.1,3695365,50.1,0.1,436079,5.9,0.1,468651,6.4,0.1,488982,6.6,0.1,1594376,21.6,0.1,4353879,59.0,0.1,339563,4.6,0.1,294139,4.0,0.1,264019,3.6,0.1,14394,0.2,0.1,670859,9.1,0.2,1441985,19.5,0.2,2313806,31.4,*****,5065032,68.6,*****,04
0400000US05,Arkansas,213116,17.7,0.3,26327,2.2,0.1,16104,1.3,0.1,67651,5.6,0.2,368470,30.6,0.3,311492,44.0,0.3,158416,22.4,0.3,1827162,88.7,0.2,529858,25.7,0.3,703823,703823,(X),47549,6.8,0.3,2630451,91.7,0.2,238660,8.3,0.2,98201,3.4,0.1,1129232,93.6,0.2,1045906,86.7,0.3,(X),(X),450310,450310,(X),317895,70.6,0.8,60773,467,20933,1.7,0.1,122592,10.2,0.2,745958,745958,(X),45094,6.0,0.3,(X),17.5,0.5,(X),21.1,0.7,(X),19.5,0.6,800864,66.4,0.4,405123,33.6,0.4,70570,5.9,0.2,399940,33.2,0.4,455606,37.8,0.4,279871,23.2,0.3,7816,0.6,0.1,12555,1.0,0.1,22310,1.8,0.1,10223,0.8,0.1,23491,5.6,0.3,70993,16.9,0.5,947,6,31692,8.9,0.4,127761,35.9,0.7,94.1,99.4,99.0,3049391,*****,1505064,49.4,0.1,1544327,50.6,0.1,196086,6.4,0.1,202277,6.6,0.1,208061,6.8,0.1,705010,23.1,0.1,2108596,69.1,0.2,448673,14.7,0.1,17036,0.6,0.1,49686,1.6,0.1,12259,0.4,0.1,97958,3.2,0.1,315183,10.3,0.2,275571,9.0,0.1,2773820,91.0,0.1,05
0400000US06,California,2703186,20.0,0.1,360079,2.7,0.1,168186,1.2,0.1,603999,4.5,0.1,4389339,32.4,0.1,3826968,38.6,0.1,2130000,21.5,0.1,22936996,84.7,0.1,10039805,37.1,0.2,8626133,8626133,(X),348932,4.0,0.1,20642638,55.6,0.1,16478816,44.4,0.1,6499255,17.5,0.1,13121413,96.9,0.1,12661798,93.5,0.1,(X),(X),5717620,5717620,(X),3966199,69.4,0.2,99122,310,547186,4.0,0.1,1682521,12.4,0.1,9165578,9165578,(X),296881,3.2,0.1,(X),12.2,0.2,(X),15.0,0.2,(X),14.7,0.2,7567568,55.9,0.2,5980523,44.1,0.2,959291,7.1,0.1,4165928,30.7,0.1,4920828,36.3,0.1,3502044,25.8,0.1,57569,0.4,0.1,158021,1.2,0.1,681582,5.0,0.1,434578,3.2,0.1,417255,8.2,0.1,1521296,30.0,0.2,2036,5,530360,9.3,0.1,2607959,46.0,0.2,92.9,99.6,98.8,39287377,*****,19623351,49.9,0.1,19664026,50.1,0.1,2328036,5.9,0.1,2577425,6.6,0.1,2595063,6.6,0.1,8632796,22.0,0.1,15604753,39.7,0.1,2134516,5.4,0.1,498657,1.3,0.1,6100560,15.5,0.1,148310,0.4,0.1,7263783,18.5,0.1,7536798,19.2,0.1,15778963,40.2,*****,23508414,59.8,*****,06
0400000US08,Colorado,452925,19.1,0.2,41383,1.7,0.1,33550,1.4,0.1,88191,3.7,0.1,673765,28.4,0.2,550913,40.2,0.3,297388,21.7,0.2,3804007,92.9,0.1,1871669,45.7,0.2,1230396,1230396,(X),48319,3.9,0.2,4650283,83.8,0.2,899275,16.2,0.2,309938,5.6,0.1,2308689,97.2,0.1,2220377,93.5,0.1,(X),(X),815590,815590,(X),610413,74.8,0.6,95470,578,60301,2.5,0.1,200905,8.5,0.2,1304733,1304733,(X),67354,5.2,0.2,(X),9.0,0.4,(X),11.1,0.4,(X),10.3,0.4,1571735,66.2,0.3,802483,33.8,0.3,123030,5.2,0.1,728790,30.7,0.2,920214,38.8,0.3,602184,25.4,0.2,7560,0.3,0.1,15914,0.7,0.1,36930,1.6,0.1,19857,0.8,0.1,79305,7.3,0.2,246069,22.7,0.3,1761,7,77499,10.1,0.3,326763,42.7,0.4,94.8,99.7,99.3,5862189,*****,2969400,50.7,0.1,2892789,49.3,0.1,329124,5.6,0.1,365422,6.2,0.1,375879,6.4,0.1,1231527,21.0,0.1,4133760,70.5,0.1,237409,4.0,0.1,61616,1.1,0.1,192697,3.3,0.1,8887,0.2,0.1,354592,6.0,0.1,873228,14.9,0.1,1320937,22.5,*****,4541252,77.5,*****,08
0400000US09,Connecticut,254363,17.7,0.3,31867,2.2,0.1,15420,1.1,0.1,73110,5.1,0.2,410171,28.6,0.2,325423,37.6,0.4,192733,22.3,0.3,2338239,91.5,0.2,1085063,42.5,0.3,730803,730803,(X),37015,5.1,0.2,2638366,76.6,0.2,804451,23.4,0.2,304681,8.8,0.1,1368627,95.4,0.1,1321840,92.2,0.2,(X),(X),490590,490590,(X),381090,77.7,0.7,95781,732,41700,2.9,0.1,169480,11.8,0.2,780686,780686,(X),21931,2.8,0.2,(X),11.1,0.5,(X),13.0,0.5,(X),12.5,0.5,952989,66.5,0.3,481018,33.5,0.3,125948,8.8,0.2,478558,33.4,0.3,533264,37.2,0.3,296237,20.7,0.2,5421,0.4,0.1,9839,0.7,0.1,20501,1.4,0.1,9965,0.7,0.1,41674,6.8,0.2,141102,23.0,0.5,1488,10,40953,9.1,0.4,196384,43.5,0.8,91.2,99.6,99.3,3624508,*****,1778269,49.1,0.1,1846239,50.9,0.1,195164,5.4,0.1,214972,5.9,0.1,239710,6.6,0.1,731586,20.2,0.1,2361298,65.1,0.2,384165,10.6,0.1,11578,0.3,0.1,174560,4.8,0.1,1806,0.0,0.1,279364,7.7,0.2,411737,11.4,0.2,662511,18.3,*****,2961997,81.7,*****,09
0400000US10,Delaware,60762,15.1,0.5,8787,2.2,0.2,4895,1.2,0.2,22134,5.5,0.4,110325,27.4,0.6,90944,39.2,0.7,50959,21.9,0.5,662711,91.7,0.3,258594,35.8,0.6,211547,211547,(X),11206,5.3,0.6,820336,84.9,0.4,146244,15.1,0.4,55013,5.7,0.2,386582,96.2,0.3,371296,92.4,0.4,(X),(X),135550,135550,(X),107579,79.4,1.4,84954,1251,9722,2.4,0.2,43159,10.7,0.4,225989,225989,(X),9100,4.0,0.5,(X),12.3,0.9,(X),15.0,1.1,(X),13.9,1.2,293383,73.0,0.6,108655,27.0,0.6,24967,6.2,0.4,135492,33.7,0.6,155609,38.7,0.6,85970,21.4,0.5,1111,0.3,0.1,2319,0.6,0.1,5993,1.5,0.2,2416,0.6,0.1,12029,6.5,0.5,36082,19.4,0.8,1401,16,9525,9.3,0.9,41099,40.3,1.6,93.8,99.7,99.4,1021191,*****,494652,48.4,0.1,526539,51.6,0.1,57995,5.7,0.2,61212,6.0,0.2,64613,6.3,0.1,211672,20.7,0.1,611821,59.9,0.2,223830,21.9,0.2,4012,0.4,0.1,43748,4.3,0.1,358,0.0,0.1,47245,4.6,0.3,90177,8.8,0.4,112835,11.0,*****,908356,89.0,*****,10
0400000US11,District of Columbia,31944,9.8,0.4,2970,0.9,0.1,2550,0.8,0.2,20286,6.3,0.4,65192,20.1,0.6,53818,33.4,0.8,24080,14.9,0.6,453024,92.7,0.4,314114,64.2,0.6,127041,127041,(X),5779,4.5,0.7,518478,80.9,0.5,122363,19.1,0.5,35729,5.6,0.3,313106,96.5,0.4,295941,91.2,0.5,(X),(X),73817,73817,(X),54906,74.4,2.6,109870,1937,14133,4.4,0.4,46408,14.3,0.6,136686,136686,(X),3789,2.8,0.6,(X),18.6,1.7,(X),22.8,1.8,(X),24.4,2.0,134683,41.5,0.8,189808,58.5,0.8,116851,36.0,0.8,150702,46.4,0.7,46437,14.3,0.5,10501,3.2,0.3,1247,0.4,0.1,2132,0.7,0.1,6001,1.8,0.2,7254,2.2,0.3,6224,6.1,0.6,19330,19.1,1.2,1954,26,18108,10.0,0.8,65977,36.6,1.0,64.0,99.6,99.3,681294,*****,323822,47.5,0.1,357472,52.5,0.1,36783,5.4,0.2,33200,4.9,0.2,36239,5.3,0.1,127314,18.7,0.1,258050,37.9,0.2,286997,42.1,0.3,2528,0.4,0.1,29748,4.4,0.1,336,0.0,0.1,37984,5.6,0.4,65651,9.6,0.4,81152,11.9,*****,600142,88.1,*****,11
0400000US12,Florida,1338577,15.3,0.2,202861,2.3,0.1,97251,1.1,0.1,403033,4.6,0.1,2316163,26.5,0.2,1956035,40.0,0.2,1036419,21.2,0.1,14597205,89.9,0.1,5541467,34.1,0.2,4371309,4371309,(X),224476,5.1,0.1,14769458,69.4,0.1,6520270,30.6,0.1,2663509,12.5,0.1,8452638,96.6,0.1,8018865,91.6,0.1,(X),(X),2850746,2850746,(X),2096219,73.5,0.4,74568,284,207302,2.4,0.1,1100905,12.6,0.1,4635436,4635436,(X),348902,7.5,0.2,(X),13.7,0.2,(X),16.5,0.3,(X),15.6,0.3,5918647,67.6,0.2,2834163,32.4,0.2,522746,6.0,0.1,3404337,38.9,0.2,3338820,38.1,0.1,1486907,17.0,0.1,28865,0.3,0.1,65070,0.7,0.1,192974,2.2,0.1,95899,1.1,0.1,253453,7.7,0.1,911084,27.5,0.3,1669,5,261240,9.8,0.2,1333160,50.2,0.4,94.0,99.7,99.3,22416077,*****,11016080,49.1,0.1,11399997,50.9,0.1,1184645,5.3,0.1,1280300,5.7,0.1,1297736,5.8,0.1,4374830,19.5,0.1,12529014,55.9,0.1,3382877,15.1,0.1,77288,0.3,0.1,656903,2.9,0.1,13216,0.1,0.1,1416954,6.3,0.1,4339825,19.4,0.1,6146161,27.4,*****,16269916,72.6,*****,12
