HPSA ID,HPSA Name,Designation Type,HPSA Discipline Class,HPSA Score,HPSA Status,HPSA Designation Date,HPSA Designation Last Update Date,Primary State Abbreviation,Common State FIPS Code,Common County Name,Common State County FIPS Code,HPSA Geography Identification Number,Latitude,Longitude,HPSA Designation Population,HPSA Estimated Served Population,HPSA Estimated Underserved Population,% of Population Below 100% Poverty,HPSA Population Type,HPSA FTE,HPSA Formal Ratio,HPSA Provider Ratio Goal,HPSA Shortage,Rural Status,Metropolitan Indicator
7568613844,Southwest Wyoming,High Needs Geographic HPSA,Mental Health,18,Designated,2012-03-20,2025-09-22,WY,56,"Sweetwater County, WY",56037,56037,,,113486.0,21000.0,92486.0,9.5,Geographic Population,1.05,108082:1,20000:1,6.52,Rural,Unknown
7568613844,Southwest Wyoming,High Needs Geographic HPSA,Mental Health,18,Designated,2012-03-20,2025-09-22,WY,56,"Teton County, WY",56039,56039,,,113486.0,21000.0,92486.0,9.5,Geographic Population,1.05,108082:1,20000:1,6.52,Rural,Unknown
7568613844,Southwest Wyoming,High Needs Geographic HPSA,Mental Health,18,Designated,2012-03-20,2025-09-22,WY,56,"Sublette County, WY",56035,56035,,,113486.0,21000.0,92486.0,9.5,Geographic Population,1.05,108082:1,20000:1,6.52,Rural,Unknown
7568613844,Southwest Wyoming,High Needs Geographic HPSA,Mental Health,18,Designated,2012-03-20,2025-09-22,WY,56,"Uinta County, WY",56041,56041,,,113486.0,21000.0,92486.0,9.5,Geographic Population,1.05,108082:1,20000:1,6.52,Rural,Unknown
7568613844,Southwest Wyoming,High Needs Geographic HPSA,Mental Health,18,Designated,2012-03-20,2025-09-22,WY,56,"Lincoln County, WY",56023,56023,,,113486.0,21000.0,92486.0,9.5,Geographic Population,1.05,108082:1,20000:1,6.52,Rural,Unknown
7568406758,Wind River Cares-Riverton,"Indian Health Service, Tribal Health, and Urban Indian Health Organizations",Mental Health,15,Designated,2020-09-18,2025-09-22,WY,56,"Fremont County, WY",56013,POINT,43.02908266,-108.37565517,8875.0,,,,,,,,,Rural,Unknown
7567989977,Central Wyoming,Geographic HPSA,Mental Health,16,Designated,2025-09-05,2025-09-05,WY,56,"Niobrara County, WY",56027,56027,,,132637.0,86250.0,46387.0,10.7,Geographic Population,2.875,46135:1,30000:1,3.755,Rural,Unknown
7567989977,Central Wyoming,Geographic HPSA,Mental Health,16,Designated,2025-09-05,2025-09-05,WY,56,"Natrona County, WY",56025,56025,,,132637.0,86250.0,46387.0,10.7,Geographic Population,2.875,46135:1,30000:1,3.755,Partially Rural,Unknown
7567989977,Central Wyoming,Geographic HPSA,Mental Health,16,Designated,2025-09-05,2025-09-05,WY,56,"Fremont County, WY",56013,56013,,,132637.0,86250.0,46387.0,10.7,Geographic Population,2.875,46135:1,30000:1,3.755,Rural,Unknown
7567989977,Central Wyoming,Geographic HPSA,Mental Health,16,Designated,2025-09-05,2025-09-05,WY,56,"Converse County, WY",56009,56009,,,132637.0,86250.0,46387.0,10.7,Geographic Population,2.875,46135:1,30000:1,3.755,Rural,Unknown
