LEAID,NAME,STNAME,STABBR,FIPST,CONUM,YEAR,LEA_RESOURCE_TYPE,CHARTER_STATUS,PER_PUPIL_COMPARABLE,MEMBERSCH,TOTALREV,TFEDREV,TSTREV,TLOCREV,TOTALEXP,TCURELSC,TCURINST,TCURSSVC,TCUROTH,TCAPOUT,E17,E07,E09,V45,REV_PER_PUPIL,EXP_PER_PUPIL,INST_PER_PUPIL,SUPPORT_PER_PUPIL,FEDREV_PER_PUPIL,STATEREV_PER_PUPIL,LOCALREV_PER_PUPIL,STUDENT_SUPPORT_PER_PUPIL,INST_STAFF_SUPPORT_PER_PUPIL,SCHOOL_ADMIN_PER_PUPIL,TRANSPORT_PER_PUPIL
0100005,Albertville City,Alabama,AL,1,1095,23,Regular School District,No charter,True,5900,90930000.0,21096000.0,47555000.0,22279000.0,81386000.0,63879000.0,37032000.0,22372000.0,4475000.0,15580000.0,5314000.0,2432000.0,3272000.0,2925000.0,15411.864406779661,13794.237288135593,6276.610169491525,3791.864406779661,3575.593220338983,8060.169491525424,3776.101694915254,900.6779661016949,412.20338983050846,554.5762711864406,495.76271186440675
0100006,Marshall County,Alabama,AL,1,1095,23,Regular School District,No charter,True,5951,87722000.0,17968000.0,48931000.0,20823000.0,87755000.0,78385000.0,42046000.0,30337000.0,6002000.0,7243000.0,5419000.0,2665000.0,4673000.0,4756000.0,14740.71584607629,14746.261132582758,7065.367165182322,5097.798689295917,3019.324483280121,8222.315577213914,3499.075785582255,910.6032599563099,447.8238951436733,785.2461771130902,799.1934128717862
0100007,Hoover City,Alabama,AL,1,1073,23,Regular School District,No charter,True,13557,229684000.0,11264000.0,92811000.0,125609000.0,210750000.0,193498000.0,115447000.0,67394000.0,10657000.0,9775000.0,14059000.0,7695000.0,11932000.0,8777000.0,16942.096333997197,15545.474662535958,8515.674559268275,4971.158810946375,830.8622851663347,6845.983624695729,9265.250424135133,1037.0288411890535,567.6034520911707,880.1357232426053,647.4146197536328
0100008,Madison City,Alabama,AL,1,1089,23,Regular School District,No charter,True,12473,207095000.0,11266000.0,102043000.0,93786000.0,188825000.0,144376000.0,85185000.0,53365000.0,5826000.0,32405000.0,12416000.0,10684000.0,7287000.0,5735000.0,16603.46348111922,15138.699591116812,6829.551831957027,4278.441433496352,903.2309789144552,8181.111200192416,7519.121302012347,995.4301290788102,856.570191613886,584.2219193457869,459.7931532109356
0100011,Leeds City,Alabama,AL,1,1073,23,Regular School District,No charter,True,2223,33785000.0,3677000.0,18266000.0,11842000.0,28548000.0,26499000.0,15301000.0,9829000.0,1369000.0,612000.0,2016000.0,1084000.0,1475000.0,1131000.0,15197.930724246513,12842.105263157895,6883.040935672515,4421.502474134053,1654.0710751237068,8216.824111560954,5327.035537561854,906.8825910931174,487.6293297345929,663.5177687809266,508.7719298245614
0100012,Boaz City,Alabama,AL,1,1095,23,Regular School District,No charter,True,2471,39406000.0,4968000.0,23213000.0,11225000.0,35200000.0,30435000.0,16490000.0,11617000.0,2328000.0,3889000.0,2356000.0,1297000.0,1831000.0,1238000.0,15947.389720760826,14245.24484014569,6673.411574261432,4701.335491703764,2010.522055847835,9394.172399838122,4542.695265074868,953.4601375961149,524.8887090246864,740.9955483609874,501.0117361392149
0100013,Trussville City,Alabama,AL,1,1073,23,Regular School District,No charter,True,5065,75782000.0,3398000.0,38860000.0,33524000.0,72155000.0,62785000.0,34723000.0,24411000.0,3651000.0,6619000.0,5251000.0,1388000.0,3155000.0,3373000.0,14961.895360315893,14245.804540967423,6855.4787759131295,4819.545903257651,670.8785784797631,7672.260612043436,6618.756169792695,1036.7226061204344,274.03751233958536,622.9022704837117,665.9427443237907
0100030,Alexander City,Alabama,AL,1,1123,23,Regular School District,No charter,True,2899,50091000.0,9545000.0,23719000.0,16827000.0,48048000.0,37205000.0,21572000.0,13374000.0,2259000.0,6978000.0,2877000.0,1678000.0,2401000.0,1347000.0,17278.71679889617,16573.991031390135,7441.1866160745085,4613.314936184891,3292.5146602276645,8181.786823042428,5804.415315626078,992.4111762676785,578.8202828561573,828.2166264229045,464.6429803380476
0100060,Andalusia City,Alabama,AL,1,1039,23,Regular School District,No charter,True,1871,27372000.0,5384000.0,14655000.0,7333000.0,25179000.0,22609000.0,14078000.0,6937000.0,1594000.0,1871000.0,1175000.0,852000.0,1016000.0,738000.0,14629.609834313202,13457.509353287012,7524.318546231962,3707.642971672902,2877.605558524853,7832.709780865847,3919.294494922501,628.0064136825227,455.3714591127739,543.0251202565473,394.4414751469802
0100090,Anniston City,Alabama,AL,1,1015,23,Regular School District,No charter,True,1892,41743000.0,14367000.0,16745000.0,10631000.0,36099000.0,29232000.0,13491000.0,13746000.0,1995000.0,5662000.0,3247000.0,2077000.0,1290000.0,1765000.0,22062.896405919662,19079.809725158564,7130.549682875264,7265.327695560254,7593.551797040169,8850.422832980972,5618.9217758985205,1716.1733615221988,1097.7801268498943,681.8181818181819,932.8752642706131
