SCHOOL_YEAR,LEAID,ST_LEAID,LEA_NAME,ST,STATENAME,FIPST,LCITY,LSTATE,LZIP,LEA_TYPE_TEXT,SY_STATUS_TEXT,UPDATED_STATUS_TEXT,LEVEL,OPERATIONAL_SCHOOLS
2024-2025,100002,AL-210,Alabama Youth Services,AL,ALABAMA,1,Mt Meigs,AL,36057,Regular public school district that is not a component of a supervisory union,Open,Open,Other,0
2024-2025,100005,AL-101,Albertville City,AL,ALABAMA,1,Albertville,AL,35950,Regular public school district that is not a component of a supervisory union,Open,Open,Other,7
2024-2025,100006,AL-048,Marshall County,AL,ALABAMA,1,Guntersville,AL,35976,Regular public school district that is not a component of a supervisory union,Open,Open,Other,17
2024-2025,100007,AL-158,Hoover City,AL,ALABAMA,1,Hoover,AL,35243,Regular public school district that is not a component of a supervisory union,Open,Open,Other,18
2024-2025,100008,AL-169,Madison City,AL,ALABAMA,1,Madison,AL,35758,Regular public school district that is not a component of a supervisory union,Open,Open,Other,13
2024-2025,100009,AL-600,Al Inst Deaf And Blind,AL,ALABAMA,1,Talladega,AL,35160,State operated agency,Open,Open,Other,5
2024-2025,100010,AL-610,Al Sch Of Math And Science,AL,ALABAMA,1,Mobile,AL,36604,State operated agency,Open,Open,High,0
2024-2025,100011,AL-167,Leeds City,AL,ALABAMA,1,Leeds,AL,35094,Regular public school district that is not a component of a supervisory union,Open,Open,Other,4
2024-2025,100012,AL-115,Boaz City,AL,ALABAMA,1,Boaz,AL,35957,Regular public school district that is not a component of a supervisory union,Open,Open,Other,5
2024-2025,100013,AL-205,Trussville City,AL,ALABAMA,1,Trussville,AL,35173,Regular public school district that is not a component of a supervisory union,Open,Open,Other,5
2024-2025,100018,AL-207,Alabama School of Fine Arts,AL,ALABAMA,1,Birmingham,AL,35203,State operated agency,Open,Open,High,0
2024-2025,100030,AL-102,Alexander City,AL,ALABAMA,1,Alexander City,AL,35010,Regular public school district that is not a component of a supervisory union,Open,Open,Other,5
2024-2025,100060,AL-104,Andalusia City,AL,ALABAMA,1,Andalusia,AL,36421,Regular public school district that is not a component of a supervisory union,Open,Open,Other,3
2024-2025,100090,AL-105,Anniston City,AL,ALABAMA,1,Anniston,AL,36206,Regular public school district that is not a component of a supervisory union,Open,Open,Other,6
2024-2025,100100,AL-106,Arab City,AL,ALABAMA,1,Arab,AL,35016,Regular public school district that is not a component of a supervisory union,Open,Open,Other,4
2024-2025,100120,AL-107,Athens City,AL,ALABAMA,1,Athens,AL,35611,Regular public school district that is not a component of a supervisory union,Open,Open,Other,9
2024-2025,100176,AL-640,JF Ingram State Technical College,AL,ALABAMA,1,Deatsville,AL,36022,State operated agency,Open,Open,High,8
