district_id,district_name,state_name,state_abbreviation,county_name,county_fips,district_city,district_zip,district_type,operational_schools,district_location_label,total_students,students_per_psychologist,students_per_guidance_counselor,school_support_pressure_rank,hpsa_designation_count,avg_hpsa_score,max_hpsa_score,provider_shortage_pressure_rank,local_overlap_score,jackson_county_focus,jackson_county_flag,display_label
4102940,Central Point SD 6,OREGON,OR,Jackson County,41029,Central Point,97502,Regular public school district that is not a component of a supervisory union,9,"Central Point, Oregon 97502",4773.0,2386.5,954.6,8.0,3,20.67,22,2,5.0,Jackson County,1,Central Point SD 6 | Jackson County
4104500,Eagle Point SD 9,OREGON,OR,Jackson County,41029,Eagle Point,97524,Regular public school district that is not a component of a supervisory union,10,"Eagle Point, Oregon 97524",4071.0,2035.5,715.5,12.0,3,20.67,22,2,7.0,Jackson County,1,Eagle Point SD 9 | Jackson County
4108040,Medford SD 549C,OREGON,OR,Jackson County,41029,Medford,97501,Regular public school district that is not a component of a supervisory union,25,"Medford, Oregon 97501",13800.0,2359.0,462.8,16.0,3,20.67,22,2,9.0,Jackson County,1,Medford SD 549C | Jackson County
4109630,Phoenix-Talent SD 4,OREGON,OR,Jackson County,41029,Phoenix,97535,Regular public school district that is not a component of a supervisory union,7,"Phoenix, Oregon 97535",2231.0,2231.0,371.8,20.5,3,20.67,22,2,11.25,Jackson County,1,Phoenix-Talent SD 4 | Jackson County
4101560,Ashland SD 5,OREGON,OR,Jackson County,41029,Ashland,97520,Regular public school district that is not a component of a supervisory union,6,"Ashland, Oregon 97520",2547.0,968.4,242.6,53.5,3,20.67,22,2,27.75,Jackson County,1,Ashland SD 5 | Jackson County
4107080,Klamath Falls City Schools,OREGON,OR,Klamath County,41035,Klamath Falls,97603,Regular public school district that is not a component of a supervisory union,9,"Klamath Falls, Oregon 97603",2711.0,2711.0,903.7,6.5,3,19.0,22,6,6.25,Other Oregon County,0,Klamath Falls City Schools | Klamath County
4102840,Central SD 13J,OREGON,OR,Polk County,41053,Independence,97351,Regular public school district that is not a component of a supervisory union,5,"Independence, Oregon 97351",3054.0,3054.0,610.8,8.0,2,18.5,19,9,8.5,Other Oregon County,0,Central SD 13J | Polk County
4106300,Hermiston SD 8,OREGON,OR,Umatilla County,41059,Hermiston,97838,Regular public school district that is not a component of a supervisory union,9,"Hermiston, Oregon 97838",5321.0,5321.0,354.7,17.0,6,19.33,24,5,11.0,Other Oregon County,0,Hermiston SD 8 | Umatilla County
4105250,Fossil SD 21J,OREGON,OR,Wasco County,41065,Fossil,97830,Independent charter district,1,"Fossil, Oregon 97830",2494.0,2494.0,2494.0,6.5,5,16.6,18,17,11.75,Other Oregon County,0,Fossil SD 21J | Wasco County
4105910,Grants Pass SD 7,OREGON,OR,Josephine County,41033,Grants Pass,97526,Regular public school district that is not a component of a supervisory union,11,"Grants Pass, Oregon 97526",5727.0,1547.8,440.5,21.5,2,20.5,22,3,12.25,Other Oregon County,0,Grants Pass SD 7 | Josephine County
4105250,Fossil SD 21J,OREGON,OR,Wheeler County,41069,Fossil,97830,Independent charter district,1,"Fossil, Oregon 97830",2494.0,2494.0,2494.0,6.5,2,16.5,17,19,12.75,Other Oregon County,0,Fossil SD 21J | Wheeler County
4103720,Crook County SD,OREGON,OR,Crook County,41013,Prineville,97754,Regular public school district that is not a component of a supervisory union,10,"Prineville, Oregon 97754",3352.0,3352.0,372.4,14.5,3,17.0,22,13,13.75,Other Oregon County,0,Crook County SD | Crook County
4102840,Central SD 13J,OREGON,OR,Marion County,41047,Independence,97351,Regular public school district that is not a component of a supervisory union,5,"Independence, Oregon 97351",3054.0,3054.0,610.8,8.0,10,16.3,21,20,14.0,Other Oregon County,0,Central SD 13J | Marion County
4103860,Dallas SD 2,OREGON,OR,Polk County,41053,Dallas,97338,Regular public school district that is not a component of a supervisory union,7,"Dallas, Oregon 97338",2956.0,1478.0,591.2,19.0,2,18.5,19,9,14.0,Other Oregon County,0,Dallas SD 2 | Polk County
4110820,Salem-Keizer SD 24J,OREGON,OR,Polk County,41053,Salem,97305,Regular public school district that is not a component of a supervisory union,65,"Salem, Oregon 97305",37982.0,2623.1,338.5,23.0,2,18.5,19,9,16.0,Other Oregon County,0,Salem-Keizer SD 24J | Polk County
4112240,Tigard-Tualatin SD 23J,OREGON,OR,Washington County,41067,Tigard,97223,Regular public school district that is not a component of a supervisory union,19,"Tigard, Oregon 97223",11433.0,1874.3,302.8,31.0,2,22.0,23,1,16.0,Other Oregon County,0,Tigard-Tualatin SD 23J | Washington County
4111100,Seaside SD 10,OREGON,OR,Clatsop County,41007,Seaside,97138,Regular public school district that is not a component of a supervisory union,4,"Seaside, Oregon 97138",1439.0,1439.0,719.5,16.5,5,16.8,18,16,16.25,Other Oregon County,0,Seaside SD 10 | Clatsop County
4111290,Sherwood SD 88J,OREGON,OR,Washington County,41067,Sherwood,97140,Regular public school district that is not a component of a supervisory union,7,"Sherwood, Oregon 97140",4803.0,1200.8,369.5,32.0,2,22.0,23,1,16.5,Other Oregon County,0,Sherwood SD 88J | Washington County
