State,Category,Factor,Value,Oregon benchmark,Districts above benchmark,Districts with data
Oregon,Economic pressure,Children under 18 in poverty,51.6,13.2,96,186
Oregon,Economic pressure,Households receiving SNAP,51.1,16.0,96,188
Oregon,Economic pressure,Children ages 5–17 in poverty,47.3,12.1,88,186
Oregon,Family context,All parents in labor force,41.4,71.8,77,186
Oregon,Family context,Female householder with children,29.8,4.0,56,188
Oregon,Access barriers,No broadband subscription,71.8,7.6,135,188
Oregon,Access barriers,Children under 19 uninsured,49.5,3.0,92,186
Oregon,Access barriers,Limited English proficiency,17.0,5.5,32,188
Oregon,Housing & transportation,High homeowner cost burden,57.4,22.9,108,188
Oregon,Housing & transportation,High rent burden,39.4,43.1,74,188
Oregon,Housing & transportation,No vehicle available,14.9,7.1,28,188
